"Time (s)","wx (rad/s)","wy (rad/s)","wz (rad/s)","wt (rad/s)"
7.105055000E-1,2.504053414E-1,8.430652022E-1,2.323623449E-1,9.096450019E-1
7.205794998E-1,2.346389145E-1,5.935046673E-1,1.637798250E-1,6.588831773E-1
7.306535000E-1,1.625760049E-1,4.197519124E-1,1.152709648E-1,4.646611891E-1
7.407274998E-1,7.429434359E-2,3.520096242E-1,1.171548888E-1,3.783592116E-1
7.508014999E-1,-1.807294041E-2,3.395820558E-1,1.213302985E-1,3.610590604E-1
7.608754998E-1,-9.295437485E-2,4.314288795E-1,1.880272925E-1,4.797141405E-1
7.709494999E-1,-1.245077774E-1,5.138068199E-1,2.637750506E-1,5.908273116E-1
7.810234998E-1,-1.266255081E-1,4.695834816E-1,3.070167899E-1,5.751538705E-1
7.910974999E-1,-9.783718735E-2,5.821387768E-1,3.112499416E-1,6.673336473E-1
8.011715000E-1,-4.284983501E-2,7.846037745E-1,3.343659341E-1,8.539553673E-1
8.112454999E-1,-3.915871494E-4,8.889384270E-1,4.008103907E-1,9.751208385E-1
8.213195000E-1,2.194088325E-2,9.561883211E-1,4.484191835E-1,1.056341456E0
8.313934999E-1,2.428138070E-2,1.048262715E0,4.383675456E-1,1.136490392E0
8.414675000E-1,1.749777794E-2,1.114720345E0,3.813599348E-1,1.178279686E0
8.515414998E-1,1.280131005E-2,9.070633650E-1,2.956215441E-1,9.541068698E-1
8.616154999E-1,3.510554880E-2,6.643282175E-1,2.106408924E-1,6.978065389E-1
8.716894998E-1,3.099259734E-2,3.840926588E-1,1.461205631E-1,4.121151909E-1
8.817634999E-1,4.085348174E-2,2.443150878E-1,1.587141156E-1,2.941921814E-1
8.918374998E-1,2.678633854E-2,4.324233830E-1,2.473986447E-1,4.989123966E-1
9.019114999E-1,-2.837225422E-2,7.478274107E-1,3.775627613E-1,8.382150438E-1
9.119854998E-1,-9.589035809E-2,9.448187947E-1,4.781675637E-1,1.063259956E0
9.220594999E-1,-1.756925136E-1,8.249152899E-1,4.770999253E-1,9.690084796E-1
9.321335000E-1,-2.900165319E-1,3.855552077E-1,3.453456759E-1,5.933178262E-1
9.422074999E-1,-3.811267316E-1,-2.898155153E-1,1.310560405E-1,4.964134408E-1
9.522815000E-1,-4.426402450E-1,-1.028032064E0,-8.544171602E-2,1.122533117E0
9.623554999E-1,-5.348700285E-1,-1.627109408E0,-2.573319674E-1,1.731990391E0
9.724295000E-1,-6.825856566E-1,-2.011927128E0,-3.954581320E-1,2.161055548E0
9.825034998E-1,-8.478297591E-1,-2.312428236E0,-5.274105668E-1,2.518789700E0
9.925774999E-1,-9.805903435E-1,-2.604347229E0,-6.644651890E-1,2.861065518E0
1.002651500E0,-1.087221742E0,-2.889124393E0,-7.948037982E-1,3.187601599E0
1.012725500E0,-1.174885869E0,-3.121633291E0,-9.086399674E-1,3.456960775E0
1.022799500E0,-1.210144043E0,-3.274160862E0,-1.005179882E0,3.632487378E0
1.032872708E0,-1.220149159E0,-3.326985121E0,-1.062100410E0,3.699412284E0
1.042946708E0,-1.279063582E0,-3.374152899E0,-1.011313319E0,3.747487967E0
1.053020708E0,-1.405448318E0,-3.422854662E0,-8.881474733E-1,3.805262796E0
1.063094708E0,-1.474834323E0,-3.466497183E0,-8.039191365E-1,3.852015703E0
1.073168708E0,-1.452187657E0,-3.511450768E0,-7.494812012E-1,3.873094055E0
1.083242708E0,-1.573972225E0,-3.661536694E0,-6.551815867E-1,4.038997702E0
1.093315708E0,-1.366503596E0,-3.608448744E0,-7.570124269E-1,3.932086244E0
1.103389708E0,-1.140860081E0,-3.586160421E0,-7.710781693E-1,3.841441114E0
1.113463708E0,-1.035588503E0,-3.518258572E0,-6.490824819E-1,3.724499294E0
1.123537708E0,-9.005796313E-1,-3.348761559E0,-5.910844803E-1,3.517759018E0
1.133611708E0,-7.444153428E-1,-3.025015831E0,-5.478609800E-1,3.163072341E0
1.143685708E0,-5.871900320E-1,-2.545627594E0,-4.536567032E-1,2.651568665E0
1.153759708E0,-3.926171660E-1,-1.879953504E0,-3.344925940E-1,1.949425226E0
1.163833708E0,-1.603602320E-1,-1.018553257E0,-1.129801795E-1,1.037270776E0
1.173907708E0,7.561487705E-2,-4.303277656E-2,2.468868047E-1,2.617680726E-1
1.183981708E0,3.295877576E-1,1.032768726E0,6.223989725E-1,1.250047924E0
1.194055708E0,5.969163775E-1,2.077507257E0,9.325169921E-1,2.354131158E0
1.204129708E0,8.511212468E-1,2.960746527E0,1.131202102E0,3.281774759E0
1.214203708E0,1.100781441E0,3.603998184E0,1.180705905E0,3.948998497E0
1.224277708E0,1.341554880E0,4.067283630E0,1.155128360E0,4.435863744E0
1.234351708E0,1.568484187E0,4.375892639E0,1.096933722E0,4.776174476E0
1.244425708E0,1.740975618E0,4.659059048E0,1.070760965E0,5.087667084E0
1.254499708E0,1.831593037E0,5.004566193E0,1.082071185E0,5.437949418E0
1.264573708E0,1.857691407E0,5.317069054E0,1.053962946E0,5.730015583E0
1.274647708E0,1.847427130E0,5.517087936E0,9.946829081E-1,5.902596072E0
1.284721708E0,1.762712002E0,5.583940506E0,9.858289361E-1,5.937962939E0
1.294795708E0,1.594205379E0,5.566404343E0,9.819981456E-1,5.872875655E0
1.304869708E0,1.417264581E0,5.349307537E0,1.000029802E0,5.623503323E0
1.314943708E0,1.198488712E0,5.025883675E0,1.010527372E0,5.264698232E0
1.325017708E0,9.827518463E-1,4.364648342E0,9.304373264E-1,4.569646590E0
1.335091708E0,7.819555402E-1,3.481060028E0,7.364065647E-1,3.643010845E0
1.345165708E0,4.538605213E-1,2.390766382E0,5.140539408E-1,2.487168012E0
1.355239708E0,-3.019618392E-1,1.268510342E0,2.930517197E-1,1.336479985E0
1.365313708E0,-1.168654442E0,4.488875866E-1,-6.239107251E-2,1.253453595E0
1.375387708E0,-1.990082622E0,-1.874090545E-2,-3.566956818E-1,2.021883249E0
1.385461708E0,-2.660294533E0,-3.745781183E-1,-4.834504128E-1,2.729688640E0
1.395535708E0,-3.059472799E0,-8.586739898E-1,-5.742200017E-1,3.229152124E0
1.405609708E0,-3.300003290E0,-1.398693800E0,-7.701513767E-1,3.665992254E0
1.415683708E0,-3.662879944E0,-1.893054843E0,-9.973821640E-1,4.242065217E0
1.425757708E0,-4.232169151E0,-2.218580008E0,-1.187099099E0,4.923673146E0
1.435831708E0,-4.816125393E0,-2.304428816E0,-1.307487726E0,5.496815453E0
1.445905708E0,-5.158337116E0,-2.358226061E0,-1.359769583E0,5.832550495E0
